
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
122	NaN	1	D_S	5	1	BAH		2
122	NaN	1	D_S	1	1	DAH		1
122	NaN	1	D_S	1	5	LAH		3
122	NaN	1	D_S	5	5	WAH		4
122	NaN	2	D_S	5	1	BAH		2
122	NaN	2	D_S	1	1	DAH		1
122	NaN	2	D_S	5	5	WAH		4
122	NaN	2	D_S	1	5	LAH		3
122	NaN	3	D_S	5	5	WAH		4
122	NaN	3	D_S	3	5	undefined		undefined
122	NaN	3	D_S	2	4	undefined		undefined
122	NaN	3	D_S	4	4	undefined		undefined
122	NaN	3	D_S	3	1	undefined		undefined
122	NaN	3	D_S	2	5	undefined		undefined
122	NaN	3	D_S	1	4	undefined		undefined
122	NaN	3	D_S	5	4	undefined		undefined
122	NaN	3	D_S	2	1	undefined		undefined
122	NaN	3	D_S	1	2	undefined		undefined
