
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
236	NaN	1	D_S	5	5	WAH		4
236	NaN	1	D_S	5	1	BAH		2
236	NaN	1	D_S	1	5	LAH		3
236	NaN	1	D_S	1	1	DAH		1
236	NaN	2	D_S	5	1	BAH		2
236	NaN	2	D_S	1	5	LAH		3
236	NaN	2	D_S	5	5	WAH		4
236	NaN	2	D_S	1	1	DAH		1
236	NaN	3	D_S	1	3	undefined		undefined
236	NaN	3	D_S	4	2	undefined		undefined
236	NaN	3	D_S	4	5	undefined		undefined
236	NaN	3	D_S	4	4	undefined		undefined
236	NaN	3	D_S	1	2	undefined		undefined
236	NaN	3	D_S	1	5	LAH		3
236	NaN	3	D_S	2	4	undefined		undefined
236	NaN	3	D_S	3	3	undefined		undefined
236	NaN	3	D_S	5	1	BAH		2
236	NaN	3	D_S	2	1	undefined		undefined
