
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
390	NaN	1	D_S	1	1	DAH		1
390	NaN	1	D_S	1	5	LAH		3
390	NaN	1	D_S	5	1	BAH		2
390	NaN	1	D_S	5	5	WAH		4
390	NaN	2	D_S	5	5	WAH		4
390	NaN	2	D_S	1	5	LAH		3
390	NaN	2	D_S	1	1	DAH		1
390	NaN	2	D_S	5	1	BAH		2
390	NaN	3	D_S	4	4	undefined		undefined
390	NaN	3	D_S	4	2	undefined		undefined
390	NaN	3	D_S	3	1	undefined		undefined
390	NaN	3	D_S	4	1	undefined		undefined
390	NaN	3	D_S	1	3	undefined		undefined
390	NaN	3	D_S	5	1	BAH		2
390	NaN	3	D_S	1	5	LAH		3
390	NaN	3	D_S	3	5	undefined		undefined
390	NaN	3	D_S	4	3	undefined		undefined
390	NaN	3	D_S	5	4	undefined		undefined
