
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
49	NaN	1	D_S	1	5	LAH		3
49	NaN	1	D_S	5	1	BAH		2
49	NaN	1	D_S	5	5	WAH		4
49	NaN	1	D_S	1	1	DAH		1
49	NaN	2	D_S	1	5	LAH		3
49	NaN	2	D_S	5	1	BAH		2
49	NaN	2	D_S	1	1	DAH		1
49	NaN	2	D_S	5	5	WAH		4
49	NaN	3	D_S	1	4	undefined		undefined
49	NaN	3	D_S	2	3	undefined		undefined
49	NaN	3	D_S	4	5	undefined		undefined
49	NaN	3	D_S	5	4	undefined		undefined
49	NaN	3	D_S	5	1	BAH		2
49	NaN	3	D_S	1	3	undefined		undefined
49	NaN	3	D_S	5	2	undefined		undefined
49	NaN	3	D_S	1	5	LAH		3
49	NaN	3	D_S	1	1	DAH		1
49	NaN	3	D_S	2	2	undefined		undefined
