
Subj	Trial	TrainingLevel	Stimuli_Type	Stimuli_1	Stimuli_2	Response		Correct
795	NaN	1	D_S	1	5	LAH		3
795	NaN	1	D_S	5	1	BAH		2
795	NaN	1	D_S	5	5	WAH		4
795	NaN	1	D_S	1	1	DAH		1
795	NaN	2	D_S	1	5	LAH		3
795	NaN	2	D_S	1	1	DAH		1
795	NaN	2	D_S	5	5	WAH		4
795	NaN	2	D_S	5	1	BAH		2
795	NaN	3	D_S	2	1	undefined		undefined
795	NaN	3	D_S	4	1	undefined		undefined
795	NaN	3	D_S	3	3	undefined		undefined
795	NaN	3	D_S	2	2	undefined		undefined
795	NaN	3	D_S	5	4	undefined		undefined
795	NaN	3	D_S	5	3	undefined		undefined
795	NaN	3	D_S	1	5	LAH		3
795	NaN	3	D_S	2	3	undefined		undefined
795	NaN	3	D_S	1	3	undefined		undefined
795	NaN	3	D_S	5	2	undefined		undefined
